lambda2,lambda3,DW,DW_var,IMP,IMP_var,SF,SF_var,AW,AW_var,SWF,SWF_var
0.0,0,0.7649999999999998,0.018126539343499334,0.02212393,0.0058875745,0.0,0.0,-0.08797854451728718,0.00018571316116039138,0.022123929113149643,0.005887574516236782
0.5,0,0.7714285714285715,0.014568627181693683,0.028111426,0.0077139786,0.0,0.0,-0.10004165518496719,0.00026976399063778536,0.028111426159739494,0.00771397864446044
1.0,0,0.7707142857142858,0.009035079029052522,0.03474628,0.009729477,0.0,0.0,-0.11375465995499065,0.00037394932839631757,0.034746281802654266,0.009729476645588875
1.5,0,0.7614285714285715,0.009147320339189791,0.042464614,0.012215897,0.0,0.0,-0.12863673128187655,0.0005011914940246888,0.042464613914489746,0.01221589744091034
2.0,0,0.7578571428571428,0.01129384878631565,0.051746197,0.015426801,0.0,0.0,-0.14460215158760548,0.0006495379838261191,0.051746197044849396,0.015426800586283207
